
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      6178          0         40        242       4114   wgui_categories_cm.obj
         0          0          0          0          0   wgui_categories_common.obj
      3320          0          0          0       6425   wgui_categories_compatible.obj
      2362         28          0        204       1347   wgui_categories_email.obj
      1202          0          0        424        550   wgui_categories_ems.obj
      9080          0          4        248       4702   wgui_categories_fmgr.obj
      4046          0         24        156       2695   wgui_categories_idlescreen.obj
      3844          0         88         57       2805   wgui_categories_inputs.obj
     16246          4          8        688      11463   wgui_categories_list.obj
         0          0          0          0          0   wgui_categories_memory.obj
      2536          0          8        100        779   wgui_categories_mm.obj
      3094          0          1         32       2197   wgui_categories_multimedia.obj
      1654          0          0        108        935   wgui_categories_notification.obj
         0          0          0          0          0   wgui_categories_panel.obj
         0          0          0          0          0   wgui_categories_pe.obj
      3674          0        100         16       2927   wgui_categories_popup.obj
     12628         12        172        172       4685   wgui_categories_search.obj
         0          0          0          0          0   wgui_categories_sim.obj
        54          0         20         16       1404   wgui_categories_sublcd.obj
         0          0          0          0          0   wgui_categories_tab.obj
      3032          0          0         16       2167   wgui_categories_text_viewer.obj
      1580          0          0         44       1102   wgui_categories_uce.obj
      5694          0         24        917       8046   wgui_categories_util.obj
      1616          0          8        372       2159   wgui_clock.obj
     16714         36        424        332      12575   wgui_datetime.obj
     16904          0         12       1336       9163   wgui_draw_manager.obj
       758          0          0         36        486   wgui_dynamic_menuitems.obj
       428          0          0          0        642   wgui_dynamic_menus.obj
      7348          0          1         16       3009   wgui_editor.obj
         0          0          0          0          0   wgui_ems.obj
      3902          0         20       4512       5030   wgui_fixed_menuitems.obj
      4770          0         12       1448       6550   wgui_fixed_menus.obj
         0          0          0          0          0   wgui_hint_oem.obj
         0          0          0          0          0   wgui_icon_bar.obj
       896          0          0        212       1531   wgui_image.obj
     16788          4        512       4065      11478   wgui_inline_edit_Slim.obj
      4004        240         12        965       3913   wgui_inputs.obj
        68          0          0        108        434   wgui_inputs_dialer.obj
     10848          0          8        936       7980   wgui_inputs_multiline.obj
      5772          0         16        256       3845   wgui_inputs_singleline.obj
       302          0          0       1612        493   wgui_panel.obj
       130          0          0          0        661   wgui_progress_bar.obj
       440          0          0        248        648   wgui_slide_bar.obj
       424          0          0          0        199   wgui_softkey_oem.obj
      5572          0         60        765       7924   wgui_softkeys.obj
      3754        528         12       1984       4181   wgui_status_icon_bar.obj
      3792          0          2       1484       4184   wgui_tab_bars.obj
       732          0          0        416       1082   wgui_text_label.obj
      2546          0          0        800       4278   wgui_title.obj
         6          0          0          0        156   wgui_touch_screen.obj
      1840          0          0        472       1898   wgui_tree.obj
       420          0          0       1112       1241   wgui_video.obj
         4          0          0          0        104   wgui_virtual_keyboard.obj
      7332         65         20        176       6833   wingui.obj
    479482      21476       4186     121387     378495   TOTAL

