APP_name	Res_base	ID	ID_name	size	data	res_filename	color_num	ABMAB2_converted
NO_APP	-1	80	IMG_GLOBAL_OPTION_CSK	72	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\UIELEMENT\\SOFTKEY\\OPTION_CSK.BMP	../../MMI/Resource/PopulateRes.c	3	Y
NO_APP	-1	81	IMG_GLOBAL_REPLY_MSG_CSK	142	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\UIELEMENT\\SOFTKEY\\REPLY_MSG_CSK.BMP	../../MMI/Resource/PopulateRes.c	10	Y
NO_APP	-1	82	IMG_GLOBAL_SAVE_CSK	148	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\UIELEMENT\\SOFTKEY\\SAVE_CSK.BMP	../../MMI/Resource/PopulateRes.c	10	Y
NO_APP	-1	83	IMG_GLOBAL_SEARCH_CSK	220	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\UIELEMENT\\SOFTKEY\\SEARCHWEB_CSK.BMP	../../MMI/Resource/PopulateRes.c	18	Y
NO_APP	-1	84	IMG_GLOBAL_SEND_MSG_CSK	162	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\UIELEMENT\\SOFTKEY\\SEND_MSG_CSK.BMP	../../MMI/Resource/PopulateRes.c	22	Y
NO_APP	-1	85	IMG_GLOBAL_WEB_BROWSER_CSK	130	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\UIELEMENT\\SOFTKEY\\WEB_BROWSER_CSK.BMP	../../MMI/Resource/PopulateRes.c	7	Y
NO_APP	-1	91	IMG_GLOBAL_SIM1	264	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\UIELEMENT\\SIM\\SIM1.BMP	../../MMI/Resource/PopulateRes.c	46	Y
NO_APP	-1	92	IMG_GLOBAL_SIM2	290	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\UIELEMENT\\SIM\\SIM2.BMP	../../MMI/Resource/PopulateRes.c	56	Y
APP_SERVICES	9293	9294	SERVICES_WAP_IMAGE_ID	822	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\WAP\\SB_WAP.BMP	../Res_MMI/res_SAT.c	187	Y
APP_FILEMANAGER_OTHER	38559	38562	IMG_ID_FMGR_ICON_FILE_TYPE_IMG	124	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_SIIMAGE.BMP	../Res_MMI/res_FileMgrService.c	10	Y
APP_FILEMANAGER_OTHER	38559	38564	IMG_ID_FMGR_ICON_FILE_TYPE_AUD	166	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_SIAUDIO.BMP	../Res_MMI/res_FileMgrService.c	7	Y
APP_FILEMANAGER_OTHER	38559	38577	IMG_ID_FMGR_FILE_TYPE_BMP	2603	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_LIBMP.GIF	../Res_MMI/res_FileMgrService.c	-1	N
APP_FILEMANAGER_OTHER	38559	38579	IMG_ID_FMGR_FILE_TYPE_GIF	2596	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_LIGIF.GIF	../Res_MMI/res_FileMgrService.c	-1	N
APP_FILEMANAGER_OTHER	38559	38581	IMG_ID_FMGR_FILE_TYPE_WBMP	2619	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_LIWBMP.GIF	../Res_MMI/res_FileMgrService.c	-1	N
APP_FILEMANAGER_OTHER	38559	38584	IMG_ID_FMGR_FILE_TYPE_EMS	2073	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_LIEMS.GIF	../Res_MMI/res_FileMgrService.c	-1	N
APP_FILEMANAGER_OTHER	38559	38585	IMG_ID_FMGR_FILE_TYPE_ANM	2079	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_LIANM.GIF	../Res_MMI/res_FileMgrService.c	-1	N
APP_FILEMANAGER_OTHER	38559	38586	IMG_ID_FMGR_FILE_TYPE_IMY	3407	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_LIIMY.GIF	../Res_MMI/res_FileMgrService.c	-1	N
APP_FILEMANAGER_OTHER	38559	38587	IMG_ID_FMGR_FILE_TYPE_MID	3411	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_LIMIDI.GIF	../Res_MMI/res_FileMgrService.c	-1	N
APP_FILEMANAGER_OTHER	38559	38588	IMG_ID_FMGR_FILE_TYPE_WAV	3414	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_LIWAV.GIF	../Res_MMI/res_FileMgrService.c	-1	N
APP_FILEMANAGER_OTHER	38559	38589	IMG_ID_FMGR_FILE_TYPE_AMR	3415	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_LIAMR.GIF	../Res_MMI/res_FileMgrService.c	-1	N
APP_FILEMANAGER_OTHER	38559	38593	IMG_ID_FMGR_FILE_TYPE_VM	2588	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_LIVM.GIF	../Res_MMI/res_FileMgrService.c	-1	N
