ENUM_ID	ID_VALUE	ID_STR	STR LENGTH	duplicate ID
STR_ID_EM_DEV_PMU_REG_SET_WRITE	11949	Write	12	
STR_ID_EM_DEV_PMU_REG_SET_Addr	11950	Address(Hex)	26	
STR_ID_EM_DEV_PMU_REG_SET_VALUE	11951	Value(Hex)	22	
STR_ID_EM_DEV_PMU_REG_SET_HIGH_LOW	11952	High\low bit(in order)	46	
STR_ID_EM_AUDIO	11953	Audio	12	
STR_ID_EM_AUD_16_LELVEL_MAX_GAIN	11954	Max analog gain	32	
STR_ID_EM_AUD_16_LELVEL_STEP	11955	Step	10	
STR_ID_EM_AUD_SET_MODE	11956	Set mode	18	
STR_ID_EM_AUD_SET_VOLUME	11957	Set volume	22	
STR_ID_EM_AUD_NORMAL_MODE	11958	Normal mode	24	
STR_ID_EM_AUD_FIR	11959	Fir	8	
STR_ID_EM_AUD_SPEECH	11960	Speech	14	
STR_ID_EM_AUD_KEY_TONE	11961	Key tone	18	
STR_ID_EM_AUD_MELODY	11962	Melody	14	
STR_ID_EM_AUD_SOUND	11963	FM radio	18	
STR_ID_EM_AUD_MICROPHONE	11964	Microphone	22	
STR_ID_EM_AUD_SIDE_TONE	11965	Side tone	20	
STR_ID_EM_AUD_LOUDSP_MODE	11966	LoudSp mode	24	
STR_ID_EM_AUD_HEADSET_MODE	11967	Headset mode	26	
STR_ID_EM_AUD_FIR_0	11968	FIR 0	12	
STR_ID_EM_AUD_FIR_1	11969	FIR 1	12	
STR_ID_EM_AUD_FIR_2	11970	FIR 2	12	
STR_ID_EM_AUD_FIR_3	11971	FIR 3	12	
STR_ID_EM_AUD_FIR_4	11972	FIR 4	12	
STR_ID_EM_AUD_FIR_5	11973	FIR 5	12	
STR_ID_EM_AUD_TV_OUT	11974	TV out	14	
STR_ID_EM_AUD_VOLUME_0	11975	Volume 0	18	
STR_ID_EM_AUD_VOLUME_1	11976	Volume 1	18	
STR_ID_EM_AUD_VOLUME_2	11977	Volume 2	18	
STR_ID_EM_AUD_VOLUME_3	11978	Volume 3	18	
STR_ID_EM_AUD_VOLUME_4	11979	Volume 4	18	
STR_ID_EM_AUD_VOLUME_5	11980	Volume 5	18	
STR_ID_EM_AUD_VOLUME_6	11981	Volume 6	18	
STR_ID_EM_AUD_16_LELVEL_VOLUME	11982	16 level setting	34	
STR_ID_EM_AUD_DIRECT_APPLY	11983	Direct Apply	26	
STR_ID_EM_AUD_SPEECH_ENHANCEMENT	11984	Speech enhancement	38	
