APP_name	Res_base	ID	ID_name	size	data	res_filename
NO_APP	-1	1	STR_GLOBAL_0	1	0	NA
NO_APP	-1	2	STR_GLOBAL_1	1	1	NA
NO_APP	-1	3	STR_GLOBAL_2	1	2	NA
NO_APP	-1	4	STR_GLOBAL_3	1	3	NA
NO_APP	-1	5	STR_GLOBAL_4	1	4	NA
NO_APP	-1	6	STR_GLOBAL_5	1	5	NA
NO_APP	-1	7	STR_GLOBAL_6	1	6	NA
NO_APP	-1	8	STR_GLOBAL_7	1	7	NA
NO_APP	-1	9	STR_GLOBAL_8	1	8	NA
NO_APP	-1	10	STR_GLOBAL_9	1	9	NA
NO_APP	-1	11	STR_GLOBAL_10	1	10	NA
NO_APP	-1	12	STR_GLOBAL_ABORT	1	Abort	NA
NO_APP	-1	13	STR_GLOBAL_ABORTING	1	Aborting	NA
NO_APP	-1	14	STR_GLOBAL_ACCEPT	1	Accept	NA
NO_APP	-1	15	STR_GLOBAL_ACCOUNTS	1	Accounts	NA
NO_APP	-1	16	STR_GLOBAL_ACTIVATE	1	Activate	NA
NO_APP	-1	17	STR_GLOBAL_ACTIVATED	1	Activated	NA
NO_APP	-1	18	STR_GLOBAL_ADD	1	Add	NA
NO_APP	-1	19	STR_GLOBAL_ADDRESS	1	Address	NA
NO_APP	-1	20	STR_GLOBAL_ADVANCED	1	Advanced	NA
NO_APP	-1	21	STR_GLOBAL_ALARM	1	Alarm	NA
NO_APP	-1	22	STR_GLOBAL_ALWAYS_ASK	1	Always ask	NA
NO_APP	-1	23	STR_GLOBAL_AS_EMAIL	1	As Email	NA
NO_APP	-1	24	STR_GLOBAL_AS_MULTIMEDIA_MSG	1	As multimedia message	NA
NO_APP	-1	25	STR_GLOBAL_AS_TEXT_MESSAGE	1	As text message	NA
NO_APP	-1	26	STR_GLOBAL_ATTACHMENT	1	Attachment	NA
NO_APP	-1	27	STR_GLOBAL_AUTHENTICATION	1	Authentication	NA
NO_APP	-1	28	STR_GLOBAL_AUTOMATIC	1	Automatic	NA
NO_APP	-1	29	STR_GLOBAL_BACK	1	Back	NA
NO_APP	-1	30	STR_GLOBAL_BLUETOOTH	1	Bluetooth	NA
NO_APP	-1	31	STR_GLOBAL_BUSY_TRY_LATER	1	Busy	NA
NO_APP	-1	32	STR_GLOBAL_CANCEL	1	Cancel	NA
NO_APP	-1	33	STR_GLOBAL_CANCELLING	1	Cancelling	NA
NO_APP	-1	34	STR_GLOBAL_CLEAR	1	Clear	NA
NO_APP	-1	35	STR_GLOBAL_CLOSE	1	Close	NA
NO_APP	-1	36	STR_GLOBAL_CONFIRM	1	Confirm	NA
NO_APP	-1	37	STR_GLOBAL_CONNECT	1	Connect	NA
NO_APP	-1	38	STR_GLOBAL_CONNECTING	1	Connecting	NA
NO_APP	-1	39	STR_GLOBAL_CONTENT	1	Content	NA
NO_APP	-1	40	STR_GLOBAL_CONTINUE	1	Cont.	NA
NO_APP	-1	41	STR_GLOBAL_COPY	1	Copy	NA
NO_APP	-1	42	STR_GLOBAL_COPYING	1	Copying	NA
NO_APP	-1	43	STR_GLOBAL_CURRENTLY_NOT_AVAILABLE	1	Currently not available	NA
NO_APP	-1	44	STR_GLOBAL_CURRENTLY_NOT_AVAILABLE_IN_CALL	1	Not available during the call	NA
NO_APP	-1	45	STR_GLOBAL_CUSTOM	1	Custom	NA
NO_APP	-1	46	STR_GLOBAL_DATA_ACCOUNT	1	Data account	NA
NO_APP	-1	47	STR_GLOBAL_DATA_ACCOUNTS	1	Data accounts	NA
NO_APP	-1	48	STR_GLOBAL_DATA_CONN_SETTING	1	Data connection settings	NA
NO_APP	-1	49	STR_GLOBAL_DATE	1	Date	NA
NO_APP	-1	50	STR_GLOBAL_DEACTIVATE	1	Deactivate	NA
NO_APP	-1	51	STR_GLOBAL_DEFAULT	1	Default	NA
NO_APP	-1	52	STR_GLOBAL_DELETE	1	Delete	NA
NO_APP	-1	53	STR_GLOBAL_DELETE_ALL	1	Delete All	NA
NO_APP	-1	54	STR_GLOBAL_DELETED	1	Deleted	NA
NO_APP	-1	55	STR_GLOBAL_DELETING	1	Deleting	NA
NO_APP	-1	56	STR_GLOBAL_DETAILS	1	Details	NA
NO_APP	-1	58	STR_GLOBAL_DIALLED_CALLS	1	Dialled call	NA
NO_APP	-1	57	STR_GLOBAL_DIAL	1	Call	NA
NO_APP	-1	59	STR_GLOBAL_DISCARD	1	Discard	NA
NO_APP	-1	60	STR_GLOBAL_DISCONNECT	1	Disconnect	NA
NO_APP	-1	61	STR_GLOBAL_DISCONNECTING	1	Disconnecting	NA
NO_APP	-1	62	STR_GLOBAL_DONE	1	Done	NA
NO_APP	-1	63	STR_GLOBAL_DOWNLOAD	1	Download	NA
NO_APP	-1	64	STR_GLOBAL_DOWNLOAD_ASK	1	Download?	NA
NO_APP	-1	65	STR_GLOBAL_DOWNLOADING	1	Downloading	NA
NO_APP	-1	66	STR_GLOBAL_DRAFTS	1	Drafts	NA
NO_APP	-1	68	STR_GLOBAL_DRM_FS_ERROR	1	File Access Error	NA
NO_APP	-1	69	STR_GLOBAL_DRM_INVALID_FORMAT	1	Format Error	NA
NO_APP	-1	70	STR_GLOBAL_DRM_NON_DRM	1	Not DRM File	NA
NO_APP	-1	71	STR_GLOBAL_DRM_PROCESSING	1	DRM Processing	NA
NO_APP	-1	72	STR_GLOBAL_DRM_PROHIBITED	1	DRM Prohibited	NA
NO_APP	-1	75	STR_GLOBAL_EARPHONE_IN	1	Earphone plugged in!	NA
NO_APP	-1	76	STR_GLOBAL_EARPHONE_OUT	1	Earphone plugged Out	NA
NO_APP	-1	77	STR_GLOBAL_EDIT	1	Edit	NA
NO_APP	-1	78	STR_GLOBAL_EDIT_BEFORE_CALL	1	Edit before call	NA
NO_APP	-1	79	STR_GLOBAL_EMAIL	1	Email	NA
NO_APP	-1	80	STR_GLOBAL_EMPTY	1	Empty	NA
NO_APP	-1	81	STR_GLOBAL_EMPTY_LIST	1	<Empty>	NA
NO_APP	-1	82	STR_GLOBAL_ERROR	1	Error	NA
NO_APP	-1	83	STR_GLOBAL_EXIT	1	Exit	NA
NO_APP	-1	84	STR_GLOBAL_FAILED	1	Failed	NA
NO_APP	-1	85	STR_GLOBAL_FAILED_TO_SAVE	1	Failed to save	NA
NO_APP	-1	86	STR_GLOBAL_FAILED_TO_SEND	1	Failed to send	NA
NO_APP	-1	87	STR_GLOBAL_FAST	1	Fast	NA
NO_APP	-1	88	STR_GLOBAL_FILE_ALREADY_EXISTS	1	File already exists	NA
NO_APP	-1	89	STR_GLOBAL_FILE_NOT_FOUND	1	File not found	NA
NO_APP	-1	90	STR_GLOBAL_FILENAME	1	Filename	NA
NO_APP	-1	92	STR_GLOBAL_FORWARD	1	Forward	NA
NO_APP	-1	93	STR_GLOBAL_GO_TO	1	Go to	NA
